step,file,category,change,why_it_was_changed
1,backend/bootstrap/observability.js,Bootstrap / module boundary,Load legacy CommonJS canonical observability through createRequire while keeping this adapter ESM. Also bridge legacy startupErrors without changing lifecycle ownership.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
2,backend/bootstrap/resilience.js,Bootstrap / module boundary,Keep the existing resilience resolver and createRequire fallback; recognize Node ESM-scope ReferenceErrors that identify legacy CommonJS implementations.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
3,backend/services/financial/financialRepositoryRegistry.js,Financial repository boundary,Bridge the existing CommonJS transaction outbox repository with createRequire; preserve registry shape.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
4,backend/repositories/financial/balance.repository.js,Financial repository boundary,Bridge legacy CommonJS tenant constants; preserve atomic balance and session/transaction invariants.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
5,backend/repositories/financial/financialTransaction.repository.js,Financial repository boundary,Bridge legacy CommonJS tenant constants; preserve append-only financial transaction repository contract.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
6,backend/repositories/financial/ledger.repository.js,Financial repository boundary,Bridge legacy CommonJS tenant constants; preserve ledger persistence behavior.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
7,backend/repositories/financial/loan.repository.js,Financial repository boundary,Bridge legacy CommonJS tenant constants; preserve loan repository behavior.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
8,backend/repositories/analytics/analytics.repository.js,Duplicate declaration cleanup,Remove only the duplicated final factory/exports tail and preserve the earlier canonical factory/public API.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
9,backend/modules/transactions/orchestration/SagaStep.js,Layer composition / duplicate cleanup,"Compose seven appended SagaStep layers into an inheritance chain, preserve caller configuration through super(), share one crypto/EventEmitter import, and rename only the duplicate intermediate timeout error.",Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
10,backend/modules/finance/statements/StatementRepairService.js,Structural cleanup,"Remove detached forecast code, move ledger/journal constants to module scope, and remove the premature class close so repair-plan methods remain class methods.",Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
11,backend/modules/payment/airtel/settlement/settlementService.js,Layer composition / duplicate cleanup,Preserve original settlement engine as SettlementServiceCore and attach the later security layer as the exported SettlementService subclass.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
12,backend/middleware/tenancy/tenantRepository.js,Duplicate class cleanup,Remove the obsolete first contract-only TenantRepository class and retain the later concrete-repository contract used by implementers.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
13,backend/middleware/tenancy/tenantResolver.js,Duplicate configuration/class cleanup,Remove the earlier unused configuration block and rename the later duplicate HeaderTenantResolver to EnterpriseHeaderTenantResolver while retaining the existing pipeline-bound resolver.,Verified parser/runtime module-boundary defect or duplicate declaration; no unrelated architectural rewrite.
